country,year,student
China,2017,928338
China,2018,997618
China,2019,1059984
China,2020,1095780
China,2021,1021303
India,2017,341562
India,2018,377993
India,2019,460871
India,2020,516693
India,2021,508174
Germany,2017,122975
Germany,2018,122543
Germany,2019,122667
Germany,2020,123534
Germany,2021,126359
South Korea,2017,105453
South Korea,2018,101696	
South Korea,2019,101581
South Korea,2020,102078
South Korea,2021,90196
France,2017,94760
France,2018,99572
France,2019,103006
France,2020,108757
France,2021,105790
Vietnam,2017,94642
Vietnam,2018,108341
Vietnam,2019,125547
Vietnam,2020,136101
Vietnam,2021,137022
United States of America,2017,86708
United States of America,2018,86059
United States of America,2019,102177
United States of America,2020,108525
United States of America,2021,102691
Nigeria,2017,86079
Nigeria,2018,76467
Nigeria,2019,69262
Nigeria,2020,73751
Nigeria,2021,84797
Kazakhstan,2017,84859	
Kazakhstan,2018,88119	
Kazakhstan,2019,89347
Kazakhstan,2020,90338
Kazakhstan,2021,91860
Saudi Arabia,2017,84244
Saudi Arabia,2018,77410
Saudi Arabia,2019,67084
Saudi Arabia,2020,58880
Saudi Arabia,2021,49857
Nepal,2017,64354
Nepal,2018,82046
Nepal,2019,93358
Nepal,2020,98751
Nepal,2021,88904
Ukraine,2017,77890
Ukraine,2018,78578
Ukraine,2019,77548
Ukraine,2020,79931
Ukraine,2021,85251
Brazil,2017,58298
Brazil,2018,70076
Brazil,2019,81705
Brazil,2020,89220
Brazil,2021,87071
Uzbekistan,2017,35033
Uzbekistan,2018,42344
Uzbekistan,2019,52820
Uzbekistan,2020,86248
Uzbekistan,2021,109945
Syrian Arab Republic,2017,53440
Syrian Arab Republic,2018,64473
Syrian Arab Republic,2019,74775
Syrian Arab Republic,2020,86994
Syrian Arab Republic,2021,99050